team,season,salary,salary,salary,salary,salary
,,sum,count,mean,min,max
Dallas Mavericks,2008,58517315,10,5851731.5,687456,16360094
Dallas Mavericks,2009,89830407,14,6416457.642857143,797581,21372000
Dallas Mavericks,2010,63979719,9,7108857.666666667,825497,19795714
Dallas Mavericks,2011,95448138,16,5965508.625,211084,17278618
Dallas Mavericks,2012,76247622,18,4235979.0,49966,19092873
Dallas Mavericks,2013,70463968,27,2609776.592592593,27859,20907128
Dallas Mavericks,2014,67279965,15,4485331.0,490180,22721381
Dallas Mavericks,2015,76045171,19,4002377.4210526315,236886,14846888
Dallas Mavericks,2016,73196194,18,4066455.222222222,525093,16407500
Dallas Mavericks,2017,90301164,22,4104598.3636363638,15984,25000000
Dallas Mavericks,2018,87382525,23,3799240.217391304,31969,23112004
Dallas Mavericks,2019,50687348,13,3899026.769230769,512746,11692308
Dallas Mavericks,2020,134875092,16,8429693.25,1416852,27285000
Denver Nuggets,2000,23294000,5,4658800.0,974000,9900000
Denver Nuggets,2001,42751000,14,3053642.8571428573,26000,10800000
Denver Nuggets,2002,74027000,17,4354529.411764706,333000,18750000
Denver Nuggets,2003,33911000,8,4238875.0,512000,20625000
Denver Nuggets,2004,12515000,3,4171666.6666666665,1948000,7250000
Denver Nuggets,2005,18536000,3,6178666.666666667,4119000,7750000
Denver Nuggets,2006,47217235,12,3934769.5833333335,719373,10886364
Denver Nuggets,2007,46763174,13,3597167.230769231,37620,12068182
Denver Nuggets,2008,83201519,16,5200094.9375,634620,19012500
Denver Nuggets,2009,51757283,13,3981329.4615384615,442114,14431816
Denver Nuggets,2010,73313174,14,5236655.285714285,825497,15852511
Denver Nuggets,2011,53415509,14,3815393.5,473604,16545454
Denver Nuggets,2012,55901868,20,2795093.4,473604,7807728
Denver Nuggets,2013,69670353,23,3029145.782608696,190548,14968250
Denver Nuggets,2014,51007596,12,4250633.0,788872,10786517
Denver Nuggets,2015,57074915,14,4076779.6428571427,507336,11595506
Denver Nuggets,2016,49177021,14,3512644.3571428573,800321,14000000
Denver Nuggets,2017,76281076,18,4237837.555555556,57672,15050000
Denver Nuggets,2018,112987874,22,5135812.454545454,57672,31269231
Denver Nuggets,2019,118048086,17,6944005.05882353,630032,29230769
